UPKB	ARO Accession	CARD Short Name	RM ARO Accession	Resistance Mechanism	CARD URL
Q43899	ARO:3002555	AAC(6')-Ih	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002555
A2AXI2	ARO:3003441	cfrA	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3003441
P09979	ARO:3002661	APH(7'')-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002661
P00383	ARO:3002864	dfrB1	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3002864
Q44245	ARO:3002557	AAC(6')-Ij	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002557
P45439	ARO:3001304	ErmS	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3001304
Q9RMT4	ARO:3001871	CTX-M-8	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001871
P30899	ARO:3003001	CfxA	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003001
Q49157	ARO:3002524	AAC(2')-Ib	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002524
C7C422	ARO:3000589	NDM-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000589
Q848S4	ARO:3001104	SHV-46	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001104
P22391	ARO:3002389	OXY-1-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002389
P95598	ARO:3002884	iri	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002884
I6YBX3	ARO:3003035	mfpA	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3003035
Q46306	ARO:3000195	tetB(P)	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3000195
Q99QC1	ARO:3002021	CMY-10	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002021
Q06239	ARO:3002919	vanR_in_vanA_cl	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002919
Q51429	ARO:3001398	OXA-3	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001398
P76398	ARO:3000793	mdtB	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000793
Q06DK7	ARO:3000205	tet(X)	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000205
P14509	ARO:3002642	APH(3')-Ib	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002642
A0A649V088	ARO:3001877	CTX-M-14	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001877
D3HKY4	ARO:3004603	tet(56)	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3004603
P18622	ARO:3002658	APH(6)-Ib	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002658
P06572	ARO:3000250	ErmC	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000250
P13082	ARO:3002659	APH(6)-Ic	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002659
Q00983	ARO:3002997	LCR-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002997
Q76G15	ARO:3000860	rmtB	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000860
Q00982	ARO:3001400	OXA-5	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001400
P37321	ARO:3002363	PER-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002363
Q01515	ARO:3002534	AAC(3)-IIb	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002534
P68263	ARO:3000124	mecI	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3000124
Q9KJY7	ARO:3002330	GES-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002330
P42333	ARO:3002988	bcrB	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3002988
P0AC12	ARO:3000412	sul2	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3000412
A0A059WGE7	ARO:3000444	rphA	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000444
P76373	ARO:3003577	ugd	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3003577
P14171	ARO:3003563	RCP-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003563
P0A0H3	ARO:3000347	ErmA	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000347
O33807	ARO:3001867	CTX-M-4	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001867
P07684	ARO:3000361	EreA	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000361
O07293	ARO:3001413	OXA-18	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001413
Q9X482	ARO:3002256	IND-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002256
P0ACZ7	ARO:3000832	evgA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000832
P0AD64	ARO:3001059	SHV-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001059
P05794	ARO:3003022	dfrB3	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3003022
P0A9Z9	ARO:3001060	SHV-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001060
P0C003	ARO:3000410	sul1	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3000410
O65976	ARO:3001870	CTX-M-7	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001870
Q6XEC0	ARO:3001782	OXA-48	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001782
P31224	ARO:3000216	acrB	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000216
Q44057	ARO:3002554	AAC(6')-Ig	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002554
Q2TR58	ARO:3001611	OXA-58	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001611
Q04720	ARO:3000495	ErmD	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000495
P0A1V8	ARO:3001397	OXA-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001397
P09885	ARO:3002652	APH(3')-VIa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002652
Q9L4P2	ARO:3001418	OXA-23	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001418
P35695	ARO:3001402	OXA-7	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001402
Q06242	ARO:3002962	vanZ_in_vanA_cl	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002962
Q44056	ARO:3002481	AER-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002481
P39386	ARO:3001214	mdtM	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3001214
O87489	ARO:3002370	VEB-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002370
P13079	ARO:3002823	ErmH	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002823
A0A0F7KYQ8	ARO:3002271	VIM-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002271
O65975	ARO:3001869	CTX-M-6	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001869
P95827	ARO:3000616	mel	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3000616
P9WQG9	ARO:3002525	AAC(2')-Ic	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002525
P09120	ARO:3000676	H-NS	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000676
P00553	ARO:3002648	APH(3')-IVa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002648
Q00014	ARO:3000595	ErmT	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000595
Q93LM8	ARO:3001092	SHV-34	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001092
P22616	ARO:3002684	catII	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002684
Q54441	ARO:3002549	AAC(6')-Ic	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002549
P18623	ARO:3003061	vph	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003061
P13018	ARO:3002895	SAT-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002895
Q9I4K6	ARO:3000149	FosA	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000149
P76399	ARO:3000794	mdtC	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000794
P30855	ARO:3000833	evgS	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000833
Q08425	ARO:3000191	tet(Q)	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3000191
P0ACR9	ARO:3000516	emrR	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000516
P0A3Y5	ARO:3002647	APH(3')-IIIa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002647
P14488	ARO:3002878	BcII	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002878
Q09HD0	ARO:3002334	GES-5	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002334
P16897	ARO:3002240	CARB-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002240
P0AE04	ARO:3000230	ANT(2'')-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000230
P0A0D2	ARO:3002630	ANT(9)-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002630
P0C001	ARO:3000838	arlR	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000838
Q06778	ARO:3001406	OXA-11	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001406
P0C0P1	ARO:3002865	dfrC	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3002865
Q9R976	ARO:3001414	OXA-19	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001414
P94968	ARO:3002526	AAC(2')-Id	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002526
A0QZ11	ARO:3000245	RbpA	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3000245
P24177	ARO:3000491	acrD	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000491
P32716	ARO:3003548	mdtN	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003548
P62967	ARO:3000178	tet(K)	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000178
Q9S424	ARO:3001072	SHV-13	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001072
P25910	ARO:3000578	CcrA	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000578
P24181	ARO:3000502	AcrF	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000502
P24180	ARO:3000499	AcrE	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000499
Q47066	ARO:3001906	CTX-M-44	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001906
Q04515	ARO:3003011	dfrA10	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3003011
P08077	ARO:3002657	APH(6)-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002657
Q8ZPB6	ARO:3002571	AAC(6')-Iaa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002571
Q93F76	ARO:3002331	GES-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002331
Q33DX5	ARO:3000861	rmtC	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000861
P13250	ARO:3002650	APH(3')-Vb	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002650
Q9WW32	ARO:3000816	mtrA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000816
Q81EF2	ARO:3000172	FosB	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000172
P00484	ARO:3002685	catIII	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002685
P11731	ARO:3002861	dfrA5	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3002861
P14489	ARO:3001405	OXA-10	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001405
P0AA00	ARO:3001061	SHV-2A	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001061
P52682	ARO:3002382	SME-4	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002382
P09891	ARO:3000594	ErmR	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000594
Q7WYA8	ARO:3002204	IMP-13	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002204
P26825	ARO:3002687	catQ	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002687
P14559	ARO:3003564	EXO-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003564
Q5WJ42	ARO:3002816	clbC	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002816
Q9HY63	ARO:3002985	arnA	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002985
P74841	ARO:3001865	CTX-M-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001865
P94958	ARO:3002152	DHA-21	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002152
Q48791	ARO:3000192	tet(S)	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3000192
Q2PT27	ARO:3002718	QnrB4	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002718
P43433	ARO:3001306	ErmW	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3001306
O32859	ARO:3000343	tap	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000343
P26839	ARO:3002840	vatA	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002840
P05058	ARO:3002623	ANT(4')-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002623
O69395	ARO:3001907	CTX-M-45	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001907
P27303	ARO:3000027	emrA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000027
Q52424	ARO:3002523	AAC(2')-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002523
Q48406	ARO:3000884	TEM-12	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000884
P12921	ARO:3003059	tmrB	ARO:3000244	reduced permeability to antibiotic	https://card.mcmaster.ca/aro/3003059
Q03170	ARO:3002241	CARB-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002241
P60932	ARO:3002986	bacA	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002986
P49856	ARO:3003063	ykkC	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003063
P0A3M2	ARO:3001064	SHV-5	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001064
P0AEJ0	ARO:3000074	emrB	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000074
O84955	ARO:3001415	OXA-20	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001415
P29808	ARO:3002536	AAC(3)-IIIa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002536
P37636	ARO:3000795	mdtE	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000795
P05789	ARO:3000363	EreB	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3000363
P0ACH7	ARO:3000263	marA			https://card.mcmaster.ca/aro/3000263
P18150	ARO:3002638	APH(3'')-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002638
Q9AHN9	ARO:3001087	SHV-29	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001087
P13661	ARO:3001396	OXA-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001396
Q06240	ARO:3002931	vanS_in_vanA_cl	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002931
P00384	ARO:3003021	dfrB2	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3003021
P39843	ARO:3003006	blt	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003006
P25051	ARO:3000010	vanA	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000010
Q9RBW7	ARO:3002570	AAC(6')-Iz	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002570
P25256	ARO:3002827	tlrC	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3002827
P29810	ARO:3002543	AAC(3)-IXa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002543
A0A5R8T042	ARO:3001878	CTX-M-15	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001878
P78218	ARO:3003013	dfrA15	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3003013
P27422	ARO:3002862	dfrA7	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3002862
P32715	ARO:3003549	mdtO	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003549
Q840P9	ARO:3002277	VIM-7	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002277
P52676	ARO:3003665	NmcR	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003665
Q7M0R2	ARO:3000862	sgm	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000862
P30896	ARO:3001062	SHV-3	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001062
P00552	ARO:3002644	APH(3')-IIa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002644
P0A4K5	ARO:3000822	pmrA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000822
P00487	ARO:3002672	Bpum_cat86	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002672
P52663	ARO:3003589	NmcA	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003589
Q3YZV2	ARO:3003578	PmrF	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3003578
P10952	ARO:3000190	tet(O)	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3000190
C0H3X7	ARO:3003324	Bsub_mprF	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3003324
Q8FCI7	ARO:3003838	gadW	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003838
P21866	ARO:3003841	kdpE	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003841
Q15BH7	ARO:3004635	AAC(6')-Il	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3004635
